Category: All categories

Month,NAPLAN: (Australia)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,1
2008-01,1
2008-02,4
2008-03,8
2008-04,17
2008-05,38
2008-06,2
2008-07,1
2008-08,4
2008-09,12
2008-10,6
2008-11,5
2008-12,4
2009-01,4
2009-02,15
2009-03,22
2009-04,34
2009-05,66
2009-06,5
2009-07,5
2009-08,8
2009-09,23
2009-10,13
2009-11,10
2009-12,9
2010-01,15
2010-02,30
2010-03,39
2010-04,65
2010-05,100
2010-06,13
2010-07,10
2010-08,12
2010-09,29
2010-10,18
2010-11,15
2010-12,10
2011-01,13
2011-02,30
2011-03,44
2011-04,56
2011-05,93
2011-06,9
2011-07,8
2011-08,10
2011-09,24
2011-10,14
2011-11,12
2011-12,8
2012-01,12
2012-02,25
2012-03,31
2012-04,44
2012-05,79
2012-06,8
2012-07,7
2012-08,9
2012-09,21
2012-10,14
2012-11,11
2012-12,10
2013-01,12
2013-02,22
2013-03,26
2013-04,39
2013-05,76
2013-06,10
2013-07,7
2013-08,7
2013-09,17
2013-10,21
2013-11,12
2013-12,9
2014-01,12
2014-02,21
2014-03,28
2014-04,33
2014-05,71
2014-06,8
2014-07,8
2014-08,17
2014-09,18
2014-10,12
2014-11,10
2014-12,8
2015-01,11
2015-02,21
2015-03,28
2015-04,39
2015-05,71
2015-06,9
2015-07,8
2015-08,25
2015-09,11
2015-10,11
2015-11,10
2015-12,8
2016-01,11
2016-02,21
2016-03,28
2016-04,42
2016-05,71
2016-06,8
2016-07,9
2016-08,27
2016-09,12
2016-10,13
2016-11,13
2016-12,11
2017-01,14
2017-02,27
2017-03,35
2017-04,50
2017-05,90
2017-06,10
2017-07,10
2017-08,43
