Category: All categories

Month,naplan tests: (Australia),naplan results: (Australia)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,0,0
2005-04,0,0
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,0,0
2005-10,0,0
2005-11,0,0
2005-12,0,0
2006-01,0,0
2006-02,0,0
2006-03,0,0
2006-04,0,0
2006-05,0,0
2006-06,0,0
2006-07,0,0
2006-08,0,0
2006-09,0,0
2006-10,0,0
2006-11,0,0
2006-12,0,0
2007-01,0,0
2007-02,0,0
2007-03,0,0
2007-04,0,0
2007-05,0,0
2007-06,0,0
2007-07,0,0
2007-08,0,0
2007-09,0,0
2007-10,0,0
2007-11,0,0
2007-12,0,0
2008-01,0,0
2008-02,1,0
2008-03,1,1
2008-04,3,0
2008-05,13,1
2008-06,1,1
2008-07,0,1
2008-08,1,4
2008-09,1,17
2008-10,1,4
2008-11,1,3
2008-12,0,2
2009-01,1,2
2009-02,7,2
2009-03,7,2
2009-04,11,3
2009-05,33,9
2009-06,1,4
2009-07,1,4
2009-08,2,11
2009-09,3,31
2009-10,4,9
2009-11,4,7
2009-12,3,6
2010-01,7,11
2010-02,20,7
2010-03,29,4
2010-04,65,5
2010-05,99,11
2010-06,5,10
2010-07,4,6
2010-08,4,9
2010-09,6,53
2010-10,6,15
2010-11,5,11
2010-12,5,8
2011-01,9,6
2011-02,22,6
2011-03,38,8
2011-04,60,6
2011-05,100,9
2011-06,6,4
2011-07,4,5
2011-08,4,8
2011-09,10,34
2011-10,7,12
2011-11,7,9
2011-12,4,5
2012-01,10,7
2012-02,17,9
2012-03,19,7
2012-04,36,7
2012-05,64,10
2012-06,4,6
2012-07,4,5
2012-08,5,8
2012-09,3,37
2012-10,4,13
2012-11,5,7
2012-12,3,6
2013-01,6,5
2013-02,12,9
2013-03,13,10
2013-04,30,6
2013-05,65,10
2013-06,2,8
2013-07,2,6
2013-08,2,8
2013-09,2,34
2013-10,4,28
2013-11,4,11
2013-12,3,8
2014-01,5,5
2014-02,11,7
2014-03,12,11
2014-04,24,6
2014-05,44,14
2014-06,2,6
2014-07,2,7
2014-08,3,29
2014-09,3,27
2014-10,3,9
2014-11,3,6
2014-12,3,5
2015-01,5,4
2015-02,8,7
2015-03,13,9
2015-04,24,7
2015-05,38,12
2015-06,2,9
2015-07,2,8
2015-08,3,36
2015-09,2,12
2015-10,3,7
2015-11,3,6
2015-12,2,5
2016-01,4,5
2016-02,8,6
2016-03,10,12
2016-04,28,6
2016-05,42,12
2016-06,1,6
2016-07,2,7
2016-08,3,43
2016-09,2,10
2016-10,3,8
2016-11,3,6
2016-12,3,7
2017-01,5,5
2017-02,8,6
2017-03,11,11
2017-04,34,5
2017-05,53,13
2017-06,2,7
2017-07,2,9
2017-08,4,73
